id,tag,type,location,clan_level,clan_points,clan_v_points,required_trophies,war_frequency,war_win_streak,war_wins,war_league,members,chat_language
64,#2QRCV2U2G,inviteOnly,Iran,4,8685,8150,0,always,8,43,Unranked,12,فارسی
65,#2QRG0GPJJ,inviteOnly,,4,10773,8846,0,always,0,44,Unranked,10,
66,#2Q0V92C28,open,Indonesia,4,12781,13939,0,always,1,17,Gold League II,17,Bahasa Indonesia
67,#2LGLRUGC8,inviteOnly,International,7,17486,17535,0,always,0,34,Gold League II,28,English
68,#2LUJL99GG,inviteOnly,France,8,9940,9913,400,always,1,26,Crystal League I,12,Français
69,#2QUVQ29UU,closed,International,3,7521,6111,0,always,2,14,Unranked,6,English
70,#U9YQQJ00,closed,International,8,14062,14010,0,always,0,109,Silver League I,40,
71,#LCR20RJJ,closed,Philippines,14,17403,17088,4200,always,0,284,Gold League I,26,
72,#P0PJQQJ0,closed,International,17,25528,26532,4500,always,2,259,Crystal League I,33,
73,#L8UGVRY2,open,Bangladesh,16,27750,26353,0,always,0,240,Gold League I,38,English
74,#2G09ULPLJ,closed,International,2,4695,5981,0,always,0,4,Unranked,8,Bahasa Melayu
75,#2QVLVJV9Y,inviteOnly,Philippines,3,7220,3167,0,always,0,4,Silver League I,15,English
76,#U8892LL2,closed,International,5,11372,14950,0,always,2,43,Silver League I,23,Bahasa Indonesia
77,#2QL8RP020,inviteOnly,Colombia,2,3240,4471,0,always,0,4,Unranked,5,Español
78,#2G0L2PLQP,closed,Iran,2,4805,5174,0,always,1,4,Unranked,6,فارسی
79,#2Q00PUCYU,inviteOnly,Bhutan,8,18186,17070,0,always,0,68,Gold League III,22,English
80,#UCCGJJGU,inviteOnly,Bangladesh,10,14488,19192,2000,always,1,146,Silver League II,22,
81,#2QUVJGY2U,open,International,3,9953,12125,1000,always,0,15,Unranked,20,فارسی
82,#2G8PU00YP,open,International,2,7500,9048,200,always,0,3,Unranked,12,فارسی
83,#28GRGYJVQ,inviteOnly,India,5,5964,6259,3000,always,12,68,Unranked,5,English
84,#2QL0P09UU,open,International,2,11778,12006,600,always,0,5,Unranked,26,English
85,#PV208GG0,inviteOnly,Canada,8,11304,13569,0,always,0,58,Silver League III,18,
86,#2YV2Y98GC,closed,Philippines,9,9366,9913,200,always,1,139,Silver League III,12,
87,#2YQV8C9QQ,inviteOnly,Philippines,2,2692,962,0,always,1,7,Unranked,7,English
88,#2QU08YJPY,open,International,6,25181,24602,1700,always,1,33,Gold League I,39,English
89,#2Q8298GR8,inviteOnly,Iran,3,6496,5182,1000,always,0,17,Unranked,11,فارسی
90,#2YVY82Q09,inviteOnly,,2,3364,4564,0,always,0,7,Unranked,5,
91,#LJ9YG2L2,inviteOnly,India,7,7268,6378,800,always,4,85,Unranked,9,
92,#289PC0P0Q,inviteOnly,International,9,9378,11511,1500,always,1,212,Silver League I,11,فارسی
93,#2Y0UVRY2C,closed,International,5,9971,9644,1500,always,5,39,Gold League III,10,English
94,#2YCGR800G,open,Vietnam,5,5521,4092,400,always,0,25,Silver League I,5,Tiếng Việt
95,#JQUV0R9U,inviteOnly,Türkiye,11,18023,17424,200,always,1,280,Silver League I,28,Türkçe
96,#2QL2PLL0R,inviteOnly,Türkiye,4,7218,7786,0,always,1,25,Unranked,6,Türkçe
97,#228YRJV9V,inviteOnly,France,5,9975,9263,0,always,0,43,Silver League III,6,
98,#2LY2GRP00,inviteOnly,Panama,8,7250,9912,800,always,5,164,Silver League II,13,Español
99,#2YJ92GY0U,inviteOnly,Germany,3,5200,4078,0,always,0,12,Unranked,6,Deutsch
100,#29LRQ020R,open,Italy,13,24233,24899,600,always,14,130,Gold League I,50,Italiano
101,#2LQY20Y2V,inviteOnly,Bangladesh,5,25753,24568,1600,always,0,17,Gold League I,32,
102,#2G0G8PYL8,open,India,2,11057,9817,0,always,8,8,Unranked,15,English
103,#29CJLQR0Q,inviteOnly,International,8,7000,5061,0,always,0,65,Gold League II,17,Español
